127.0.0.1 - - [01/Nov/2023:14:00:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:00:02 +0900] "GET /LibraryProject/index.jsp HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:00:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:00:05 +0900] "GET /LibraryProject/login/login.jsp HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:00:07 +0900] "GET /LibraryProject/member/signUp.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:00:18 +0900] "POST /LibraryProject/signUp HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:00:31 +0900] "GET /LibraryProject/member/signUp.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:00:39 +0900] "GET /LibraryProject/member/signUp.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:00:47 +0900] "POST /LibraryProject/signUp HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:00:52 +0900] "POST /LibraryProject/signUp HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:01:16 +0900] "POST /LibraryProject/signUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:01:16 +0900] "GET /LibraryProject/login/loginOk.jsp HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:01:20 +0900] "GET /LibraryProject/login/loginOk.jsp HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:01:24 +0900] "GET /LibraryProject/login/loginOk.jsp HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:01:39 +0900] "GET /LibraryProject/quit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:01:39 +0900] "GET /LibraryProject/member/quitResult.jsp HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:01:47 +0900] "POST /LibraryProject/signUp HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [01/Nov/2023:14:03:25 +0900] "GET /LibraryProject/index.jsp HTTP/1.1" 200 4354
